"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"curly","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1467,13,1467,37,"Expected { after 'if' condition.","https://eslint.org/docs/latest/rules/curly"
"curly","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1469,13,1469,37,"Expected { after 'if' condition.","https://eslint.org/docs/latest/rules/curly"
"curly","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1473,62,1473,84,"Expected { after 'if' condition.","https://eslint.org/docs/latest/rules/curly"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1480,9,1480,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1486,9,1486,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1512,13,1512,24,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1516,105,1516,107,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1517,58,1517,60,"Expected '!==' and instead saw '!='.","https://eslint.org/docs/latest/rules/eqeqeq"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1518,17,1518,28,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1522,17,1522,28,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1523,68,1523,70,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1524,47,1524,49,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1525,47,1525,49,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1526,43,1526,45,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1527,44,1527,46,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
